,Year,Season,Site,Depth,Transect..,Meter.Mark,Coral,Algae,Algae.Functional.Group,CoralAlgae,Maximum.colony.diameter,Length.of.edge.in.contact,Outcome,Proportion of colony in contact
117,2015,Spring,Harry's Bommie 5m,5,2,9.9,Acropora,Lobophora,leathery macrophyte,AcrLob,0.45,0.03,0,0.066666667
118,2015,Spring,Harry's Bommie 5m,5,2,9.9,Acropora,Lobophora,leathery macrophyte,AcrLob,0.45,0.03,0,0.066666667
119,2015,Spring,Harry's Bommie 5m,5,2,9.9,Acropora,Lobophora,leathery macrophyte,AcrLob,0.45,0.03,0,0.066666667
120,2015,Spring,Harry's Bommie 5m,5,3,4.8,Acropora,cyanobacteria,cyanobacteria,Acrcyan,0.28,0.13,0,0.464285714
121,2015,Spring,Harry's Bommie 5m,5,3,4.8,Favia,filamentous,filamentous,Favafila,0.13,0.09,0,0.692307692
122,2015,Spring,Harry's Bommie 5m,5,3,8.1,Montastrea,CCA,crustose,MonsCCA,0.15,0.08,1,0.533333333
123,2015,Spring,Harry's Bommie 5m,5,3,10.2,Galaxea,CCA,crustose,GalCCA,0.1,0.02,1,0.2
124,2015,Spring,Harry's Bommie 5m,5,3,10.2,Galaxea,CCA,crustose,GalCCA,0.1,0.02,1,0.2
125,2015,Spring,Harry's Bommie 5m,5,3,10.2,Galaxea,CCA,crustose,GalCCA,0.1,0.02,1,0.2
126,2015,Spring,Harry's Bommie 5m,5,3,10.2,Galaxea,CCA,crustose,GalCCA,0.1,0.02,1,0.2
127,2015,Spring,Harry's Bommie 5m,5,3,14.2,Montipora,CCA,crustose,MonCCA,0.19,0.07,1,0.368421053
128,2015,Spring,Harry's Bommie 5m,5,3,14.8,Favia,filamentous,filamentous,Favafila,0.35,0.12,0,0.342857143
129,2015,Spring,Harry's Tower,1.5,1,1.7,Acropora,filamentous,filamentous,Acrfila,0.4,0.2,0,0.5
130,2015,Spring,Harry's Tower,1.5,1,1.7,Acropora,Halimeda,articulate calcaerous,AcrHal,0.4,0.03,1,0.075
131,2015,Spring,Harry's Tower,1.5,1,1.7,Acropora,Halimeda,articulate calcaerous,AcrHal,0.4,0.03,1,0.075
132,2015,Spring,Harry's Tower,1.5,1,1.7,Acropora,Halimeda,articulate calcaerous,AcrHal,0.4,0.03,1,0.075
133,2015,Spring,Harry's Tower,1.5,1,1.7,Acropora,ACA,articulate calcaerous,AcrACA,0.4,0.04,1,0.1
134,2015,Spring,Harry's Tower,1.5,1,1.7,Acropora,ACA,articulate calcaerous,AcrACA,0.4,0.04,1,0.1
135,2015,Spring,Harry's Tower,1.5,1,2.3,Acropora,filamentous,filamentous,Acrfila,0.8,0.2,0,0.25
136,2015,Spring,Harry's Tower,1.5,1,2.6,Acropora,filamentous,filamentous,Acrfila,0.3,0.07,0,0.233333333
137,2015,Spring,Harry's Tower,1.5,1,3.1,Acropora,ACA,articulate calcaerous,AcrACA,0.5,0.13,1,0.26
138,2015,Spring,Harry's Tower,1.5,1,3.1,Acropora,Turbinaria ornata,leathery macrophyte,AcrTorn,0.3,0.05,1,0.166666667
139,2015,Spring,Harry's Tower,1.5,1,3.8,Acropora,Turbinaria ornata,leathery macrophyte,AcrTorn,0.18,0.07,1,0.388888889
140,2015,Spring,Harry's Tower,1.5,1,4.8,Acropora,Turbinaria ornata,leathery macrophyte,AcrTorn,0.2,0.03,1,0.15
141,2015,Spring,Harry's Tower,1.5,1,4.8,Acropora,Turbinaria ornata,leathery macrophyte,AcrTorn,0.2,0.03,1,0.15
142,2015,Spring,Harry's Tower,1.5,1,4.8,Acropora,Turbinaria ornata,leathery macrophyte,AcrTorn,0.2,0.03,1,0.15
143,2015,Spring,Harry's Tower,1.5,1,5,Acropora,filamentous,filamentous,Acrfila,0.2,0.05,1,0.25
144,2015,Spring,Harry's Tower,1.5,1,5.8,Isopora,Turbinaria ornata,leathery macrophyte,IsoTorn,0.31,0.04,1,0.129032258
145,2015,Spring,Harry's Tower,1.5,1,6.5,Acropora,Turbinaria ornata,leathery macrophyte,AcrTorn,0.6,0.05,1,0.083333333
146,2015,Spring,Harry's Tower,1.5,1,6.5,Acropora,Turbinaria ornata,leathery macrophyte,AcrTorn,0.6,0.05,1,0.083333333
147,2015,Spring,Harry's Tower,1.5,1,6.5,Acropora,Turbinaria ornata,leathery macrophyte,AcrTorn,0.6,0.05,1,0.083333333
148,2015,Spring,Harry's Tower,1.5,1,6.5,Acropora,Turbinaria ornata,leathery macrophyte,AcrTorn,0.6,0.05,1,0.083333333
149,2015,Spring,Harry's Tower,1.5,1,6.5,Pocillopora,Lobophora,leathery macrophyte,PocLob,0.18,0.02,0,0.111111111
150,2015,Spring,Harry's Tower,1.5,1,6.9,Pocillopora,Turbinaria ornata,leathery macrophyte,PocTorn,0.05,0.025,0,0.5
151,2015,Spring,Harry's Tower,1.5,1,11.2,Acropora,Halimeda,articulate calcaerous,AcrHal,0.19,0.02,1,0.105263158
